"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"02.03.2022","207.97","205.06","208.79","202.04","23,28M","2,20%"
"01.03.2022","203.49","209.87","211.75","202.22","26,81M","-3,57%"
"28.02.2022","211.03","207.68","213.15","206.83","34,02M","0,26%"
"25.02.2022","210.48","204.94","211.32","203.18","37,63M","1,39%"
"24.02.2022","207.60","191.06","208.35","190.22","49,73M","4,61%"
"23.02.2022","198.45","204.16","206.94","198.05","44,03M","-1,80%"
"22.02.2022","202.08","202.34","207.48","200.06","39,70M","-1,98%"
"18.02.2022","206.16","209.39","210.75","205.18","37,13M","-0,75%"
"17.02.2022","207.71","214.02","217.50","207.16","38,37M","-4,08%"
"16.02.2022","216.54","212.41","217.46","212.36","45,65M","-2,02%"
"15.02.2022","221.00","220.47","221.15","215.06","42,40M","1,52%"
"14.02.2022","217.70","219.31","221.00","214.78","38,01M","-0,84%"
"11.02.2022","219.55","228.46","230.42","218.77","46,16M","-3,74%"
"10.02.2022","228.07","228.27","235.00","226.70","47,66M","-1,69%"
"09.02.2022","232.00","224.20","233.37","222.21","85,91M","5,37%"
"08.02.2022","220.18","220.85","225.77","216.15","94,73M","-2,10%"
"07.02.2022","224.91","237.70","238.30","224.01","87,85M","-5,14%"
"04.02.2022","237.09","234.97","242.61","230.11","89,34M","-0,28%"
"03.02.2022","237.76","244.65","248.00","235.74","186,07M","-26,39%"
"02.02.2022","323.00","327.82","328.00","316.87","45,59M","1,25%"